"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Выберите информационные системы""";"=""(RRTR01) Информационная система Росреестра,(RRTR02) Информационные системы Росреестра""";
"=""Выберите сервисы""";"(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде,(SID0003187) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде";
"=""Выберите период формирования отчета с""";"=""01.01.2013 00:00:00""";
"=""по""";"=""28.02.2013 00:00:00""";
"=""Время генерации отчета""";"=""01.03.2013 14:01:07""";

"=""Идентификатор сервиса""";"=""Сервис""";"=""Общее время недоступности""";"=""Процент недоступности""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10д. 4ч. 3м. 1с.""";"=""17.53""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10д. 0ч. 45м. 15с.""";"=""17.29""";
"="" """;"=""""";"=""""";"=""""";
"=""Детализированная статистика""";"=""""";"=""""";"=""""";
"="" """;"=""""";"=""""";"=""""";
"=""Сервис""";"=""Недоступен с""";"=""Недоступен по""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""01.01.2013 00:00:00""";"=""09.01.2013 16:21:50""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""09.01.2013 18:16:52""";"=""09.01.2013 18:21:51""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.01.2013 09:32:53""";"=""10.01.2013 09:36:52""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.01.2013 12:21:53""";"=""10.01.2013 12:26:52""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 13:19:58""";"=""11.01.2013 13:24:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 19:30:58""";"=""11.01.2013 19:34:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 19:40:58""";"=""11.01.2013 19:44:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 22:20:58""";"=""11.01.2013 22:24:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 00:09:58""";"=""12.01.2013 00:14:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 03:15:58""";"=""12.01.2013 03:24:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 03:30:58""";"=""12.01.2013 03:34:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 11:17:00""";"=""12.01.2013 11:21:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 17:57:01""";"=""12.01.2013 18:02:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 19:22:01""";"=""12.01.2013 19:27:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 21:58:01""";"=""12.01.2013 22:02:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 22:53:01""";"=""12.01.2013 22:57:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 23:33:01""";"=""12.01.2013 23:37:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 23:48:01""";"=""12.01.2013 23:52:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 02:18:01""";"=""13.01.2013 02:22:00""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 03:02:02""";"=""13.01.2013 03:07:01""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 05:30:00""";"=""13.01.2013 05:34:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 11:15:00""";"=""13.01.2013 11:19:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 14:11:00""";"=""13.01.2013 14:14:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 14:46:00""";"=""13.01.2013 14:49:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 14:56:00""";"=""13.01.2013 14:59:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 15:41:00""";"=""13.01.2013 15:44:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 16:26:00""";"=""13.01.2013 16:39:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 21:01:00""";"=""13.01.2013 21:04:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 21:55:00""";"=""13.01.2013 22:00:19""";"=""""";
