"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""00 Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""""";
"=""Выберите информационные системы""";"=""""";
"=""Выберите сервисы""";"=""""";
"=""Выберите период формирования отчета с""";"=""07.02.2014""";
"=""по""";"=""10.02.2014""";
"=""Время генерации отчета""";"=""14.07.2014 13:17:45""";

"=""Сводные показатели""";

"=""Ведомство""";"=""Сервис""";"=""Кол-во отключений сервиса за период""";"=""Общее время недоступности за период""";"=""Самый продолжительный интервал недоступности""";"=""Среднее время недоступности""";"=""Общее время недоступности, без учета кратковременных прерываний""";
"=""Банк Таврический""";"=""(00-SID0003518) - Банк таврический в роли Расчетного банка""";"=""1""";"=""00:00:10""";"=""00:00:10""";"=""00:00:10""";"=""00:00:00""";
"=""Банк Таврический""";"=""(00-SID0003519) - Банк таврический в роли Поставщика платежных средств""";"=""1""";"=""00:00:10""";"=""00:00:10""";"=""00:00:10""";"=""00:00:00""";
"=""Главгосэкспертиза России""";"=""(00-SID0003320) - Сервис выдачи выписок из реестра выданных заключений государственной экспертизы проектной документации и  проверки достоверности определения сметной стоимости.""";"=""33""";"=""00:39:03""";"=""00:03:59""";"=""00:01:11""";"=""00:00:00""";
"=""Главгосэкспертиза России""";"=""(00-SID0003523) - Сервис приема заявлений  от ПГУ на проведение государственной экспертизы проектной документации и/или проверки достоверности определения сметной стоимости""";"=""2""";"=""00:01:36""";"=""00:01:34""";"=""00:00:48""";"=""00:00:00""";
"=""Государственное автономное учреждение Республики Мордовия «Госинформ»""";"=""(00-SID0003692) - Электронный сервис «Сведения из реестра о безработных гражданах»""";"=""13""";"=""00:20:43""";"=""00:02:46""";"=""00:01:35""";"=""00:00:00""";
"=""Департамент информационных технологий города Москвы""";"=""(00-SID0003838) - Получение выписки из похозяйственной книги о наличии у гражданина права на земельный участок""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Департамент информационных технологий и связи Самарской области""";"(00-SID0003658) - Сведения о неполучении ежемесячного пособия по уходу за ребенком в органах социальной защиты населения  по месту жительства отца, матери ребенка (для одного из родителей в соответствующих случаях), а также для лиц, фактически осуществляющих уход за ребенком вместо матери (отца, обоих родителей) ребенка, в случае, если отец (мать, оба родителя) ребенка не работает (не служит) либо обучается по очной форме обучения в образовательных учреждениях начального профессионального, среднего профессионального и высшего профессионального образования и учреждениях послевузовского профессионального образования";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Департамент информационных технологий и связи Самарской области""";"=""(00-SID0003666) - Сервис обработки запросов сведений об установлении опеки или попечительства МР Кинельский (Самарская область)""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Департамент информационных технологий и связи Самарской области""";"=""(00-SID0003668) - Сервис обработки запросов сведений об установлении опеки или попечительства г.о.Самара (Самарская область)""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Департамент информационных технологий и связи Самарской области""";"=""(00-SID0003702) - Определение видов организаций в области племенного животноводства""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Департамент информационных технологий и связи Самарской области""";"(00-SID0003722) - Сервис получения сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""23""";"=""00:23:28""";"=""00:02:46""";"=""00:01:01""";"=""00:00:00""";
"=""Департамент информационных технологий и связи Самарской области""";"=""(00-SID0003725) - Сервис по запросу предложения государственного учреждения службы занятости населения о досрочном назначении пенсии безработному  гражданину""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Информационно-аналитическое управление правительства Еврейской автономной области""";"=""(00-SID0003748) - Сервис предоставления электронной копии договора о предоставлении рыбопромыслового участка для осуществления рыболовства""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Информационно-аналитическое управление правительства Еврейской автономной области""";"(00-SID0003749) - Сервис передачи сведений о ""закреплении долей и (или) договора пользования водными биоресурсами для осуществления прибрежного рыболовства, за исключением анадромных, катадромных и трансграничных видов рыб""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""Комитет информационных технологий и телекоммуникаций Администрации Волгоградской области""";"=""(00-SID0003156) - Электронный сервис для назначения и выплаты дополнительного единовременного денежного пособия при рождении ребенка""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МВД""";"=""(00-SID0003026) - Государственная услуга по приему, регистрации и рассмотрению в органах внутренних дел Российской Федерации сообщений о преступлении и иной информации о правонарушении в электронном виде""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МВД""";"=""(00-SID0003027) - Предварительная запись на прием""";"=""1""";"=""00:08:00""";"=""00:04:00""";"=""00:08:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003030) - ГИБДД Предоставление сведений об административных правонарушениях в области дорожного движения""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003033) - ГИБДД Отмена заявки""";"=""0""";"=""00:04:00""";"=""00:04:00""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003052) - ГИБДД Предоставление системных справочников, версия 2""";"=""0""";"=""00:04:22""";"=""00:04:22""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003054) - ГИБДД Прием анкет на оказание услуги, версия 2""";"=""0""";"=""00:04:01""";"=""00:04:01""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003067) - МВД: Заявка на лицензию на торговлю оружием""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МВД""";"=""(00-SID0003133) - Электронный сервис обработки заявок""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003134) - Электронный сервис обработки предварительной записи""";"=""2""";"=""00:05:45""";"=""00:04:00""";"=""00:02:52""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003135) - Электронный сервис предоставления основной информации""";"=""1""";"=""00:00:05""";"=""00:00:05""";"=""00:00:05""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003137) - Электронный сервис для получения шаблона платежных документов.""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"(00-SID0003176) - Сведения о выданных, продленных, переоформленных лицензиях на торговлю оружием и основными частями огнестрельного оружия, частную охранную и детективную деятельность и о выданных разрешениях на ввоз в РФ и вывоз из РФ оружия и патронов к нему";"=""3""";"=""95:57:30""";"=""56:24:38""";"=""31:59:10""";"=""95:57:30""";
"=""МВД""";"=""(00-SID0003177) - Сведения об утраченном документе""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МВД""";"(00-SID0003178) - ""Сведения о наличии (отсутствии) судимости, о нахождении в розыске и административных правонарушениях""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МВД""";"=""(00-SID0003456) - Сведения о наличии (отсутствии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования, о нахождении в розыске""";"=""2""";"=""00:39:15""";"=""00:19:45""";"=""00:19:37""";"=""00:34:30""";
"=""МВД""";"=""(00-SID0003457) - Сведения о получении, назначении, неполучении пенсии и о прекращении выплат""";"=""3""";"=""00:27:58""";"=""00:15:37""";"=""00:09:19""";"=""00:27:39""";
"=""МВД""";"=""(00-SID0003536) - Сведения о службе в ОВД""";"=""3""";"=""00:29:34""";"=""00:15:22""";"=""00:09:51""";"=""00:27:23""";
"=""МВД""";"=""(00-SID0003537) - Сведения о реабилитации""";"=""3""";"=""00:28:10""";"=""00:14:37""";"=""00:09:23""";"=""00:26:40""";
"=""МВД""";"=""(00-SID0003538) - Сервис приема заявлений по всем государственным услугам МВД России, переводимым в электронный вид""";"=""4""";"=""00:28:22""";"=""00:13:56""";"=""00:07:05""";"=""00:25:58""";
"=""МВД""";"=""(00-SID0003546) - Предоставление сведений об административных правонарушениях в области дорожного движения""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МВД""";"=""(00-SID0003596) - Сведения об утраченном документе""";"=""2""";"=""00:32:29""";"=""00:18:07""";"=""00:16:14""";"=""00:32:29""";
"=""МИД""";"=""(00-SID0003153) - Сервис подтверждения факта приобретения гражданства Российской Федерации в консульских учреждениях Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"=""(00-SID0003285) - Сервис подтверждения выдачи свидетельства об открытии корреспондентского пункта зарубежного средства массовой информации""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МИД""";"(00-SID0003288) - Электронный сервис ""Сведения о периоде проживания за границей супругов работников, направленных в дипломатические представительства и консульские учреждения Российской Федерации""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МИД""";"(00-SID0003289) - «Сведения из дипломатических служебных карточек и удостоверений личности, выданных сотрудникам дипломатических представительств и консульских учреждений иностранных государств в Российской Федерации и членам их семей, сотрудникам международных организаций и их представительств, аккредитованных при МИДе России, и членам их семей».";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"(00-SID0003290) - Электронный сервис ""Сведения о дипломатических или консульских карточках, выданных МИДом России, сведения о служебных карточках или удостоверениях, выданных МИДом России административно-техническому и обслуживающему персоналу дипломатических представительств и консульских учреждений Российской Федерации""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""МИД""";"=""(00-SID0003530) - Сервис подтверждения факта приобретения гражданства Российской Федерации в консульских учреждениях Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"=""(00-SID0003531) - Сервис подтверждения факта выдачи паспорта, удостоверяющего личность гражданина Российской Федерации за пределами Российской Федерации, в консульских учреждениях Российской Федерации""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"=""(00-SID0003659) - Электронный сервис «Сведения о периоде проживания за границей супругов работников, направленных в дипломатические представительства и консульские учреждения Российской Федерации»""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"(00-SID0003660) - «Сведения из дипломатических служебных карточек и удостоверений личности, выданных сотрудникам дипломатических представительств и консульских учреждений иностранных государств в Российской Федерации и членам их семей, сотрудникам международных организаций и их представительств, аккредитованных при МИДе России, и членам их семей».";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"=""(00-SID0003750) - Электронный сервис исполнения государственной услуги по  оказанию государственных информационно-консультационных услуг.""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МИД""";"=""(00-SID0003806) - Прием обращений граждан с Единого портала государственных услуг""";"=""0""";"=""00:04:45""";"=""00:04:45""";"=""00:00:00""";"=""00:00:00""";
"=""МЧС""";"=""(00-SID0003190) - Электронный сервис для получения шаблона платежных документов.""";"=""1""";"=""02:47:32""";"=""02:47:32""";"=""02:47:32""";"=""02:47:32""";
"=""МЧС""";"=""(00-SID0003191) - Электронный сервис для работы с заявками получателей государственных услуг с потрала www.gosuslugi.ru""";"=""1""";"=""02:50:01""";"=""02:50:01""";"=""02:50:01""";"=""02:50:01""";
"=""МЧС""";"=""(00-SID0003192) - Электронный сервис для работы с организационной структурой ведомства.""";"=""2""";"=""02:53:37""";"=""02:50:01""";"=""01:26:48""";"=""02:50:01""";
"=""МЧС""";"(00-SID0003386) - Электронный сервис ""Запрос копии заключения МЧС (его территориального органа) о готовности эксплуатирующей организации к локализации и ликвидации чрезвычайных ситуаций и защите населения и территорий в случае аварии гидротехнического сооружения""";"=""7""";"=""00:05:59""";"=""00:01:42""";"=""00:00:51""";"=""00:00:00""";
"=""МЧС""";"(00-SID0003387) - Электронный сервис ""Подтверждение нахождения судна в собственности для маломерных судов""";"=""3""";"=""00:19:00""";"=""00:04:46""";"=""00:06:20""";"=""00:00:00""";
"=""МЧС""";"=""(00-SID0003391) - Электронный сервис «Справка об общей продолжительности службы, выдаваемая МЧС""";"=""7""";"=""00:38:01""";"=""00:04:46""";"=""00:05:25""";"=""00:00:00""";
"=""МЧС""";"=""(00-SID0003392) - Электронный сервис «Акт о пожаре».""";"=""6""";"=""00:33:15""";"=""00:04:45""";"=""00:05:32""";"=""00:00:00""";
"=""МЧС""";"=""(00-SID0003393) - Электронный сервис «Выписка из списка пострадавших лиц, из списка эвакуированных лиц, выписка из иных документов».""";"=""5""";"=""00:04:13""";"=""00:02:09""";"=""00:00:50""";"=""00:00:00""";
"=""МЧС""";"=""(00-SID0003433) - Электронный сервис предоставления подтверждения целесообразности ввоза лекарственных препаратов""";"=""1""";"=""02:45:11""";"=""02:45:11""";"=""02:45:11""";"=""02:45:11""";
"=""МЧС""";"=""(00-SID0003434) - Электронный сервис предоставления заключений органа ГПН о соответствии производственных и складских помещений организации противопожарным нормам и требованиям""";"=""1""";"=""02:43:39""";"=""02:43:39""";"=""02:43:39""";"=""02:43:39""";
"=""МЧС""";"=""(00-SID0003435) - Электронный сервис предоставления заключений органа ГПН о соблюдении на объектах лицензии требований пожарной безопасности""";"=""1""";"=""02:54:37""";"=""02:49:52""";"=""02:54:37""";"=""02:49:52""";
"=""МЧС""";"=""(00-SID0003436) - Электронный сервис предоставления сведений по утверждению плана ликвидации розлива нефти""";"=""1""";"=""02:43:58""";"=""02:43:58""";"=""02:43:58""";"=""02:43:58""";
"=""МЧС""";"(00-SID0003580) - Электронный сервис ""Предоставление сведений о должнике, его имуществе""";"=""1""";"=""00:01:29""";"=""00:01:29""";"=""00:01:29""";"=""00:00:00""";
"=""МЧС""";"(00-SID0003593) - Электронный сервис ""Сервис приема заявок с ЕПГУ для МЧС России""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МЧС""";"(00-SID0003594) - Электронный сервис ""Сведения  о гибели сотрудника ФПС ГПС МЧС России при исполнении служебных обязанностей""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МЧС""";"(00-SID0003630) - Электронный сервис ""Предоставление сведений (уведомлений) об обременениях""";"=""0""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";"=""00:00:00""";
"=""МЧС""";"=""(00-SID0003710) - Электронный сервис для работы с заявками получателей государственных услуг с потрала www.gosuslugi.ru""";"=""1""";"=""02:43:29""";"=""02:43:29""";"=""02:43:29""";"=""02:43:29""";
"=""МЧС""";"=""(00-SID0003711) - Электронный сервис для работы с организационной структурой ведомства.""";"=""1""";"=""02:44:11""";"=""02:44:11""";"=""02:44:11""";"=""02:44:11""";
"=""МЧС""";"=""(00-SID0003712) - Электронный сервис для получения шаблона платежных документов""";"=""1""";"=""02:41:49""";"=""02:41:49""";"=""02:41:49""";"=""02:41:49""";
"=""МЧС""";"=""(00-SID0003742) - Электронный сервис предоставления информации из реестра лицензий деятельности по монтажу, техническому обслуживанию и ремонту средств обеспечения пожарной безопасности зданий и сооружений""";"=""1""";"=""02:42:56""";"=""02:42:56""";"=""02:42:56""";"=""02:42:56""";
"=""МЧС""";"=""(00-SID0003843) - Электронный сервис предоставления информации из реестра заключений о согласовании специальных технических условий""";"=""0""";"=""02:49:51""";"=""02:49:51""";"=""00:00:00""";"=""02:49:51""";
"=""МЧС""";"=""(00-SID0003854) - Электронный сервис предоставления информации из реестра заключений о соответствии объектов обязательным требованиям пожарной безопасности""";"=""0""";"=""02:49:52""";"=""02:49:52""";"=""00:00:00""";"=""02:49:52""";
"=""МЧС""";"(00-SID0003855) - Электронный сервис предоставления информации из реестра исполнительных документов по административным правонарушениям, реестра исполнительных документов по административному приостановлению деятельности, реестра исполнительных документов по дисквалификации субъектов деятельности";"=""0""";"=""02:50:01""";"=""02:50:01""";"=""00:00:00""";"=""02:50:01""";
"=""МЧС""";"=""(00-SID0003860) - Электронный сервис предоставления информации из реестра заключений по результатам рассмотрения деклараций промышленной безопасности опасных производственных объектов""";"=""0""";"=""02:49:52""";"=""02:49:52""";"=""00:00:00""";"=""02:49:52""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003023) - Предоставление гражданам и организациям информации об оказании высокотехнологичной медицинской помощи населению Российской Федерации за счет средств федерального бюджета""";"=""0""";"=""96:00:00""";"=""96:00:00""";"=""00:00:00""";"=""96:00:00""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003195) - Сервис, предоставляющий сведения о регистрации лекарственных средств""";"=""1""";"=""02:55:46""";"=""02:55:46""";"=""02:55:46""";"=""02:55:46""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003202) - Сервис, предоставляющий сведения о регистрации предельной отпускной цены на жизненно необходимые и важнейшие лекарственные препараты""";"=""1""";"=""02:56:24""";"=""02:56:24""";"=""02:56:24""";"=""02:56:24""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003203) - Сервис, предоставляющий сведения, содержащиеся в заключении Минздравсоцразвития России о производстве товара в границах географического объекта, наименование которого заявляется на регистрацию или зарегистрировано в качестве НМПТ""";"=""1""";"=""02:55:05""";"=""02:55:05""";"=""02:55:05""";"=""02:55:05""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003204) - Сервис, предоставляющий сведения о включении организации в реестр аккредитованных организаций, оказывающих услуги в области охраны труда""";"=""1""";"=""02:57:10""";"=""02:57:10""";"=""02:57:10""";"=""02:57:10""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003205) - Сервис, предоставляющий сведения о целевом назначении для медицины""";"=""1""";"=""02:55:13""";"=""02:55:13""";"=""02:55:13""";"=""02:55:13""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003408) - Электронный сервис предоставления сведений о регистрации лекарственных средств""";"=""1""";"=""02:54:38""";"=""02:54:38""";"=""02:54:38""";"=""02:54:38""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003409) - Электронный сервис предоставления сведений о регистрации предельной отпускной цены на жизненно необходимые и важнейшие лекарственные препараты""";"=""1""";"=""02:52:23""";"=""02:52:23""";"=""02:52:23""";"=""02:52:23""";
"=""Министерство здравоохранения Российской Федерации""";"(00-SID0003410) - Электронный сервис предоставления сведений, содержащиеся в заключении Министерства здравоохранения и социального развития Российской Федерации о производстве товара в границах географического объекта, наименование которого заявляется на регистрацию или зарегистрировано в качестве наименование места происхождение товара";"=""1""";"=""02:54:34""";"=""02:54:34""";"=""02:54:34""";"=""02:54:34""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003491) - Электронный сервис предоставления сведений о целевом назначении для медицины""";"=""1""";"=""02:53:31""";"=""02:53:31""";"=""02:53:31""";"=""02:53:31""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003496) - Электронный сервис предоставления сведений о включении организации в реестр аккредитованных организаций, оказывающих услуги в области охраны труда""";"=""1""";"=""02:53:55""";"=""02:53:55""";"=""02:53:55""";"=""02:53:55""";
"=""Министерство здравоохранения Российской Федерации""";"=""(00-SID0003647) - Сервис приема заявок на запись на приём к врачу""";"=""0""";"=""00:04:00""";"=""00:04:00""";"=""00:00:00""";"=""00:00:00""";
"=""Министерство информационных технологий, связи и средств массовой информации Нижегородской области""";"=""(00-SID0003698) - Сервис передачи сведений о «документе, подтверждающем принадлежность земельного участка к определенной категории земель»""";"=""9""";"=""00:15:06""";"=""00:03:42""";"=""00:01:40""";"=""00:00:00""";
"=""Министерство информационных технологий, связи и средств массовой информации Нижегородской области""";"=""(00-SID0003699) - Сервис передачи сведений о «документе, подтверждающем установленное разрешенное использование земельного участка»""";"=""14""";"=""00:11:50""";"=""00:02:22""";"=""00:00:50""";"=""00:00:00""";
