"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""05.01.2015""";
"=""по""";"=""11.01.2015""";
"=""Время генерации отчета""";"=""12.01.2015 13:41:53""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Амурская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Астраханская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Белгородская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Брянская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Волгоградская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Вологодская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Карачаево-Черкесская Республика""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Кировская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Краснодарский край""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис получения данных лицевого счета по представленному страховому номеру индивидуального лицевого счета (СНИЛС) в системе обязательного пенсионного страхования""";"=""SID0003815""";"=""РОИВ""";"=""Территориальный отраслевой исполнительный орган государственной власти Свердловской области - Управление социальной политики населения Министерства социальной политики населения Свердловской области по Орджоникидзевскому району города Екатеринбурга""";"=""2408154153874200577160077713265197068""";"=""Свердловская область""";"=""1""";"=""0""";"=""1""";
"=""Ленинградская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Электронный сервис получения информации от информационных систем Поставщиков и предоставления информации информационным системам Потребителей государственной автоматизированной системы «Управление»""";"=""SID0003808""";"=""РОИВ""";"=""Комитет по информатизации и связи Санкт-Петербурга""";"=""212496949164473589966186""";"=""Город Санкт-Петербург""";"=""1188""";"=""0""";"=""1188""";
"=""Липецкая область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Московская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Ненецкий автономный округ""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Нижегородская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Оренбургская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Пермский край""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис передачи сведений о размере получаемой пенсии и других выплат, учитываемых при расчете совокупного дохода семьи (одиноко проживающего гражданина)  """;"=""SID0003534""";"=""РОИВ""";"=""Администрация Главы Республики Бурятия и Правительства Республики Бурятия""";"=""534666898808841726592306""";"=""Республика Бурятия""";"=""24""";"=""0""";"=""24""";
"=""Псковская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
