"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Сервис""";"=""(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";
"=""Выберите период формирования отчета с""";"=""19.01.2015""";
"=""по""";"=""25.01.2015""";
"=""Время генерации отчета""";"=""26.01.2015 16:39:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"="" Департамент имущественных и земельных отношений Администрации города Нягани Ханты-Мансийского автономного округа - Югры""";"=""84000731829527579203681""";"=""Ханты-Мансийский автономный округ - Югра""";"=""1414""";"=""623""";"=""791""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"""Администрация Пектубаевского сельского поселения""";"=""490159702255533681541577""";"=""Республика Марий Эл""";"=""182""";"=""105""";"=""77""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"""Администрация Пекшиксолинского сельского поселения""";"=""394323009579822188855562""";"=""Республика Марий Эл""";"=""18""";"=""0""";"=""18""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"""Администрация Пекшиксолинского сельского поселения""";"=""394323009579822188855562""";"=""Республика Марий Эл""";"=""10""";"=""0""";"=""10""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"""Администрация муниципального образования Городское поселение Оршанка";"=""522569762679788257935887""";"=""Республика Марий Эл""";"=""140""";"=""42""";"=""98""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""АДМИНИСТРАЦИЯ ПАЛЬСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ""";"=""124053826411594673858294""";"=""Пермский край""";"=""5""";"=""0""";"=""5""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""АРМ МВ Администрации ГО Красноуфимск (Свердловская область)""";"=""2405922852939750232319116276060717068""";"=""Свердловская область""";"=""1841""";"=""784""";"=""1057""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Автономное учреждение Воронежской области Многофункциональный центр предоставления государственных и муниципальных услуг""";"=""287835649718121555560823""";"=""Воронежская область""";"=""161""";"=""63""";"=""98""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Автономное учреждение Чувашской Республики Многофункциональный центр предоставления государственных и муниципальных услуг Министерства экономического развития, промышленности и торговли Чувашской Республики""";"=""201545265882999222699705""";"=""Чувашская Республика-Чувашия""";"=""420""";"=""168""";"=""252""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Агентство по информатизации и связи Камчатского края""";"=""358504272550898484385412""";"=""Камчатский край""";"=""39753""";"=""17556""";"=""22197""";
