"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Поставщик сервисов""";"=""""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""06.04.2015""";
"=""по""";"=""08.04.2015""";
"=""Время генерации отчета""";"=""13.04.2015 14:39:16""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""310""";"=""310""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""7706""";"=""7706""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1426""";"=""1426""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""SID0001009""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Выписка из реестра государственной (муниципальной) собственности""";"=""SID0001010""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""778""";"=""778""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Сведения из реестра похозяйственных книг""";"=""SID0001016""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""4804""";"=""4804""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""225874""";"=""225874""";"=""0""";
"=""Амурская область""";"=""РОИВ""";"Государственное бюджетное учреждение Амурской области ""Центр информационных технологий Амурской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""32""";"=""32""";"=""0""";
"=""Амурская область""";"=""РОИВ""";"Государственное бюджетное учреждение Амурской области ""Центр информационных технологий Амурской области""";"=""Согласование маршрута""";"=""SID0001027""";"=""ФОИВ""";"=""Федеральная служба по надзору в сфере транспорта (Ространснадзор)""";"=""145183427552252931386885""";"=""Федеральный уровень""";"=""4210""";"=""4210""";"=""0""";
"=""Архангельская область""";"=""РОИВ""";"=""Администрация Губернатора Архангельской области и Правительства Архангельской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""146""";"=""146""";"=""0""";
"=""Архангельская область""";"=""РОИВ""";"=""Администрация Губернатора Архангельской области и Правительства Архангельской области""";"=""Заключение о привлечении и об использовании иностранных работников""";"=""SID0001022""";"=""ФОИВ""";"=""Федеральная миграционная служба России (ФМС)""";"=""525145814911240445633593""";"=""Федеральный уровень""";"=""6""";"=""6""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""1252""";"=""1252""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""254""";"=""254""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""746""";"=""746""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Выписка из реестра государственной (муниципальной) собственности""";"=""SID0001010""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""562""";"=""562""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства";"=""SID0001011""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""548""";"=""548""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""8""";"=""8""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""8""";"=""8""";"=""0""";
