"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Выберите период формирования отчета с""";"=""04.06.2015""";
"=""по""";"=""04.06.2015""";
"=""Время генерации отчета""";"=""20.07.2015 13:13:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление Алтайского края по социальной защите населения и преодолению последствий ядерных испытаний на Семипалатинском полигоне""";"=""""";"=""SID0004070""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""1""";"=""1""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление Алтайского края по социальной защите населения и преодолению последствий ядерных испытаний на Семипалатинском полигоне""";"=""""";"=""SID0004070""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""280""";"=""280""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление образования и молодежной политики Алтайского края""";"=""""";"=""SID0004076""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""7""";"=""7""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""24""";"=""24""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2041""";"=""2041""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""532""";"=""532""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Решение органа местного самоуправления о переводе жилого помещения в нежилое, нежилого в жилое""";"=""SID0001007""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""118""";"=""118""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""SID0001009""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Выписка из реестра государственной (муниципальной) собственности""";"=""SID0001010""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""293""";"=""293""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского края""";"=""Сведения из реестра похозяйственных книг""";"=""SID0001016""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""836""";"=""836""";"=""0""";
