"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Поставщик сервисов""";"=""""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""01.07.2015""";
"=""по""";"=""05.07.2015""";
"=""Время генерации отчета""";"=""24.07.2015 11:54:53""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Государственное автономное учреждение Республики Мордовия «Госинформ»""";"=""""";"=""SID0003692""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""3""";"=""0""";"=""3""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""""";"=""SID0003824""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""6""";"=""6""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сервис предоставления сведений, содержащихся в разрешении на строительство""";"=""SID0003833""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""7""";"=""7""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Получение выписки из похозяйственной книги о наличии у гражданина права на земельный участок""";"=""SID0003838""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""6""";"=""6""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сервис сбора сведений из актов освидетельствования проведения основных работ по строительству объекта индивидуального жилищного строительства""";"=""SID0003840""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""5""";"=""5""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сервис обработки запросов на предоставление сведений о «документе, подтверждающем принадлежность земельного участка к определенной категории земель»""";"=""SID0003842""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""152""";"=""152""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сервис согласования маршрута транспортного средства, осуществляющего перевозки крупногабаритных и(или) тяжеловесных грузов""";"=""SID0003847""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""1794""";"=""1794""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сервис согласования маршрута транспортного средства, осуществляющего перевозки крупногабаритных и(или) тяжеловесных грузов""";"=""SID0003847""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""1""";"=""1""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сервис предоставления информации из уведомлений о переводе (отказе в переводе) жилого (нежилого) помещения в нежилое (жилое) помещение """;"=""SID0003850""";"=""ФОИВ""";"=""Министерство связи и массовых коммуникаций (Минкомсвязь)""";"=""427630227582249909378869""";"=""Федеральный уровень""";"=""13""";"=""13""";"=""0""";
"=""Федеральный уровень""";"=""РОИВ""";"=""Департамент информационных технологий города Москвы""";"=""Сведения о согласовании маршрута движения транспортных средств, осуществляющих перевозку опасных грузов""";"=""SID0003861""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""19""";"=""19""";"=""0""";
