"=""Статистика использования электронных сервисов""";

"=""Выберите период формирования отчета с""";"=""19.07.2015""";
"=""по""";"=""19.07.2015""";
"=""Время генерации отчета""";"=""28.07.2015 11:26:54""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Алтайский край""";"=""ФОИВ""";"=""Министерство связи и массовых коммуникаций (Минкомсвязь)""";"=""Концентратор услуг""";"=""SID0000274""";"=""РОИВ""";"=""Главное управление образования и молодежной политики Алтайского края""";"=""415217893522471739468966""";"=""Алтайский край""";"=""281""";"=""281""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Министерство сельского хозяйства Российской Федерации (Минсельхоз России)""";"=""Сервис получения сведений из учетных систем органов государственного технического надзора субъектов Российской Федерации""";"=""SID0000275""";"=""РОИВ""";"=""Министерство сельского хозяйства Республики Алтай""";"=""268569645140152216993121""";"=""Алтайский край""";"=""8""";"=""8""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Пенсионный фонд Российской Федерации (ПФР)""";"=""Сервис передачи сведений  о отсутствии/наличии задолженности по страховым взносам и иным платежам""";"=""SID0000145""";"=""РОИВ""";"=""Главное управление экономики и инвестиций Алтайского Края""";"=""371680371790007439997612""";"=""Алтайский край""";"=""26""";"=""26""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Пенсионный фонд Российской Федерации (ПФР)""";"=""Сервис предоставления сведений о размере социальных выплат застрахованного лица из бюджетов всех уровней """;"=""SID0003541""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""268876205448262303367636""";"=""Алтайский край""";"=""2520""";"=""2520""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Пенсионный фонд Российской Федерации (ПФР)""";"=""Сервис предоставления сведений о размере социальных выплат застрахованного лица из бюджетов всех уровней """;"=""SID0003541""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""268876205448262303367636""";"=""Алтайский край""";"=""6""";"=""6""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Федеральная налоговая служба России (ФНС)""";"=""Электронный сервис «Предоставление сведений о наличии (отсутствии) задолженности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства Российской Федерации о налогах и сборах, по запросу органов исполнительной власти»""";"=""SID0000229""";"=""РОИВ""";"=""Главное управление сельского хозяйства Алтайского края""";"=""907631""";"=""Алтайский край""";"=""72""";"=""70""";"=""2""";
"=""Алтайский край""";"=""ФОИВ""";"=""Федеральная налоговая служба России (ФНС)""";"=""Электронный сервис «Предоставление сведений о наличии (отсутствии) задолженности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства Российской Федерации о налогах и сборах, по запросу органов исполнительной власти»""";"=""SID0000229""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""268876205448262303367636""";"=""Алтайский край""";"=""18""";"=""18""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Федеральная налоговая служба России (ФНС)""";"=""Электронный сервис «Предоставление сведений о наличии (отсутствии) задолженности по уплате налогов, сборов, пеней и штрафов за нарушение законодательства Российской Федерации о налогах и сборах, по запросу органов исполнительной власти»""";"=""SID0000229""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""268876205448262303367636""";"=""Алтайский край""";"=""18""";"=""18""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003606""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""268876205448262303367636""";"=""Алтайский край""";"=""210""";"=""210""";"=""0""";
"=""Алтайский край""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003606""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""268876205448262303367636""";"=""Алтайский край""";"=""523""";"=""522""";"=""1""";
