"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральное казначейство (ФК)""";
"=""Сервис""";"=""(SID0003998) Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";
"=""Выберите период формирования отчета с""";"=""19.01.2017""";
"=""по""";"=""20.01.2017""";
"=""Время генерации отчета""";"=""26.01.2017 12:41:37""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"="" Департамент имущественных и земельных отношений Администрации города Нягани Ханты-Мансийского автономного округа - Югры""";"=""161657594989178500694396""";"=""Ханты-Мансийский автономный округ - Югра""";"=""31""";"=""30""";"=""1""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"АУ ""Многофункциональный центр Югры""";"=""171778886275484809691625""";"=""Ханты-Мансийский автономный округ - Югра""";"=""2""";"=""2""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Автономное учреждение Республики Марий Эл Дирекция многофункциональных центров предоставления государственных и муниципальных услуг в Республике Марий Эл""";"=""168263673362455535290205""";"=""Республика Марий Эл""";"=""13""";"=""12""";"=""1""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Агентство по информатизации и связи Камчатского края""";"=""157819966845546687113114""";"=""Камчатский край""";"=""47""";"=""45""";"=""2""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Агентство по информационным технологиям Республики Башкортостан""";"=""326551463722715036280342""";"=""Республика Башкортостан""";"=""2968""";"=""2030""";"=""938""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Агентство по информационным технологиям и связи Сахалинской области""";"=""461888241034395576697757""";"=""Сахалинская область""";"=""8""";"=""8""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Административная инспекция Ростовской области""";"=""164593169015929426683765""";"=""Ростовская область""";"=""29""";"=""29""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрации Большесундырского сельского поселения  Моргаушского района Чувашской Республики""";"=""523048837312274445111958""";"=""Чувашская Республика-Чувашия""";"=""2""";"=""2""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрации города Иркутска""";"=""136682173375704150930728""";"=""Иркутская область""";"=""704""";"=""698""";"=""6""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрация Агаповского муниципального района Челябинской области""";"=""1581683""";"=""Челябинская область""";"=""202""";"=""189""";"=""13""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрация Азовского района""";"=""177156055033546576765552""";"=""Ростовская область""";"=""10""";"=""10""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрация Ангарского муниципального образования""";"=""1858248""";"=""Иркутская область""";"=""30""";"=""30""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрация Березовского городского округа""";"=""114298602339704122760130""";"=""Свердловская область""";"=""12""";"=""12""";"=""0""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральное казначейство (ФК)""";"=""Электронный сервис государственной информационной системы о государственных и муниципальных платежах""";"=""SID0003998""";"=""РОИВ""";"=""Администрация Богураевского сельского поселения  Белокалитвинского района Ростовской области""";"=""285538860070063078123717""";"=""Ростовская область""";"=""4""";"=""4""";"=""0""";
